USA,Washington DC,318.900,89,Free,English,refined petroleum
Sweden,Stockholm,9.593,100,Free,Swedish,refined petroleum
San Marino,San Marino,0.003,100,Free,Italian,washing and bottling machines
Norway,Oslo,5.084,100,Free,Norwegian,crude petroleum
Finland,Helsinki,5.439,100,Free,Finnish,refined petroleum
Iceland,Reykjavik,0.300,100,Free,Icelandic,raw aluminum
Colombia,Bogota,47.120,64,Partly Free,Spanish,crude petroleum
Ukraine,Kiev,45.490,61,Partly Free,Ukrainian,semi-finished iron
Morocco,Rabat,33.010,41,Partly Free,Arabic,insulated wire
Bosnia,Sarajevo,3.829,55,Partly Free,Bosnian,seats
Philipines,Manila,98.390,63,Partly Free,Filipino,integrated circuits
Russia,Moscow,143.500,20,Not Free,Russian,crude petroleum
North Korea,Pyongyang,24.900,3,Not Free,Korean,coal briquettes
Syria,Damascus,22.850,-1,Not Free,Arabic,raw cotton
Eritrea,Asmara,6.333,3,Not Free,Arabic,copper ore
Somalia,Mogadishu,10.500,2,Not Free,Arabic,sheep and goats
Uzbekistan,Tashkent,30.240,3,Not Free,Uzbek,gold
